U87;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
1250055;Head of Government;Wang Jingwei;1939;1964;1999;NS;Backroom Backstabber;Very High;unknownminister;X
1250001;Head of State;Blue Shadow;1933;1964;1999;ML;Undistinguished Suit;Very High;unknownminister;X
1250002;Head of Government;Blue Shadow;1933;1964;1999;ML;Undistinguished Suit;Very High;unknownminister;X
1250003;Foreign Minister;Blue Shadow;1933;1964;1999;ML;Undistinguished Suit;Very High;unknownminister;X
1250004;Minister of Armament;Blue Shadow;1933;1964;1999;ML;Undistinguished Suit;Very High;unknownminister;X
1250005;Minister of Security;Blue Shadow;1933;1964;1999;ML;Undistinguished Suit;Very High;unknownminister;X
1250006;Head of Military Intelligence;Blue Shadow;1933;1964;1999;ML;Undistinguished Suit;Very High;unknownminister;X
1250007;Chief of Staff;Blue Shadow;1933;1964;1999;ML;Undistinguished Suit;Very High;unknownminister;X
1250008;Chief of Army;Blue Shadow;1933;1964;1999;ML;Undistinguished Suit;Very High;unknownminister;X
1250009;Chief of Navy;Blue Shadow;1933;1964;1999;ML;Undistinguished Suit;Very High;unknownminister;X
1250010;Chief of Air Force;Blue Shadow;1933;1964;1999;ML;Undistinguished Suit;Very High;unknownminister;X
1250011;Head of State;Wang Jingwei;1933;1945;1999;FA;Local tyrant2;Very High;M52041;X
1250012;Head of Government;Zhou Fohai;1933;1964;1999;FA;Political Protege;Very High;8142;X
1250013;Foreign Minister;Chu Minyi;1933;1964;1999;FA;Biased Intellectual;Very High;8143;X
1250014;Minister of Armament;Zhou Fohai;1933;1964;1999;FA;Resource Industrialist;Very High;8142;X
1250015;Minister of Security;Chen Gongbo;1933;1964;1999;FA;Crime Fighter;Very High;M52014;X
1250016;Head of Military Intelligence;Li Shiqun;1933;1964;1999;FA;Logistics Specialist;Very High;M52016;X
1250017;Chief of Staff;Bao Wenyue;1933;1964;1999;FA;School of Mass Combat;Very High;M52018;X
1250018;Chief of Army;Xiao Shuxuan;1933;1964;1999;FA;Static Defence Doctrine;Very High;8144;X
1250019;Chief of Navy;Ren Yuandao;1933;1964;1999;FA;Decisive Naval Battle Doctrine;Very High;M52019;X
1250020;Chief of Air Force;Chen Changchu;1933;1964;1999;FA;Air Superiority Doctrine;Very High;M52020;X
1250021;Head of State;Red Shadow;1933;1964;1999;LE;Undistinguished Suit;Very High;unknownminister;X
1250022;Head of Government;Red Shadow;1933;1964;1999;LE;Undistinguished Suit;Very High;unknownminister;X
1250023;Foreign Minister;Red Shadow;1933;1964;1999;LE;Undistinguished Suit;Very High;unknownminister;X
1250024;Minister of Armament;Red Shadow;1933;1964;1999;LE;Undistinguished Suit;Very High;unknownminister;X
1250025;Minister of Security;Red Shadow;1933;1964;1999;LE;Undistinguished Suit;Very High;unknownminister;X
1250026;Head of Military Intelligence;Red Shadow;1933;1964;1999;LE;Undistinguished Suit;Very High;unknownminister;X
1250027;Chief of Staff;Red Shadow;1933;1964;1999;LE;Undistinguished Suit;Very High;unknownminister;X
1250028;Chief of Army;Red Shadow;1933;1964;1999;LE;Undistinguished Suit;Very High;unknownminister;X
